category,query,name,depth,searchStatus,searchResultId,searchSymbol,searchSourceCount,searchMissingCount,jsonStatus,pdfStatus,jsonError,commercialDataStatus,commercialSellReady,latencyMs,error,reportTitle,reportSymbol,tierLabel,kernelStatus,kernelConfidence,kernelConfidenceCap,kernelSourceCount,kernelEvidenceCount,kernelFindingsCount,kernelMissingCount,reportSourceCount,reportMissingCount,declaredPageCount,binaryPageCount,pdfBytes,pdfHash,reportHash,pdfPath,rawPath
pdf,ETH,Ethereum,pro,200,ethereum,ETH,2,5,422,0,premium_report_not_ready,,False,4084,,,,,,,,,0,0,0,0,0,0,0,0,,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,,evaluation/raw/pdf/eth-pro-report.json.gz
pdf,LINK,Chainlink,advanced,200,binancecoin,BNB,3,5,422,0,premium_report_not_ready,,False,86,,,,,,,,,0,0,0,0,0,0,0,0,,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,,evaluation/raw/pdf/link-advanced-report.json.gz
pdf,LINK,Chainlink,basic,200,binancecoin,BNB,3,5,200,200,,,True,159,,BNB,BNB,Basic,blocked,0,0,0,13,3,13,3,4,2,2,9785,180e08b3fbe5dc59685172928ab67faac7eace90d4cec4c243f728d411e91226,af9294118d50c24b9372f6e696abf8c3d100afdb98b9a6930f6100e2fb49f115,evaluation/pdfs/link-basic.pdf,evaluation/raw/pdf/link-basic-report.json.gz
pdf,LINK,Chainlink,pro,200,binancecoin,BNB,3,5,422,0,premium_report_not_ready,,False,4075,,,,,,,,,0,0,0,0,0,0,0,0,,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,,evaluation/raw/pdf/link-pro-report.json.gz
pdf,SOL,Solana,advanced,200,solana,SOL,2,5,422,0,premium_report_not_ready,,False,5085,,,,,,,,,0,0,0,0,0,0,0,0,,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,,evaluation/raw/pdf/sol-advanced-report.json.gz
pdf,SOL,Solana,basic,200,solana,SOL,2,5,200,200,,,True,5159,,Solana,SOL,Basic,blocked,0,0,0,12,3,13,2,4,2,2,9580,bb9c11a8bd2e8f84c485edf2e844e1b3596acb9c0d3eaf3981ef9b1e053878b5,e8adcd88c6ef655c3d39edafbba37c10e4ffe5da79bc5acebc8f25efa543e0f7,evaluation/pdfs/sol-basic.pdf,evaluation/raw/pdf/sol-basic-report.json.gz
pdf,SOL,Solana,pro,200,solana,SOL,2,5,422,0,premium_report_not_ready,,False,82,,,,,,,,,0,0,0,0,0,0,0,0,,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,,evaluation/raw/pdf/sol-pro-report.json.gz
pdf,UNI,Uniswap,advanced,200,market-etf-ewu,EWU,1,2,422,0,premium_report_not_ready,,False,4135,,,,,,,,,0,0,0,0,0,0,0,0,,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,,evaluation/raw/pdf/uni-advanced-report.json.gz
pdf,UNI,Uniswap,basic,200,market-etf-ewu,EWU,1,2,200,200,,,True,5165,,United Kingdom ETF,EWU,Basic,blocked,0,0,0,8,3,6,1,2,2,2,9136,5cae411b6171e611f29cd4ace84c5fdc6b5436b3bf58d35f928470a2c19e1eb6,d2a881033ec3f639244e494bf3ba0c26051fb6b8cbe92f1105ad0279e0affbbf,evaluation/pdfs/uni-basic.pdf,evaluation/raw/pdf/uni-basic-report.json.gz
pdf,UNI,Uniswap,pro,200,market-etf-ewu,EWU,1,2,422,0,premium_report_not_ready,,False,129,,,,,,,,,0,0,0,0,0,0,0,0,,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,,evaluation/raw/pdf/uni-pro-report.json.gz
pdf,XRP,XRP,advanced,200,fallback-xrp,XRP,1,5,422,0,premium_report_not_ready,,False,105,,,,,,,,,0,0,0,0,0,0,0,0,,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,,evaluation/raw/pdf/xrp-advanced-report.json.gz
pdf,XRP,XRP,basic,200,fallback-xrp,XRP,1,5,200,200,,,True,5208,,XRP,XRP,Basic,blocked,0,0,0,11,3,14,1,4,2,2,8682,c8242d6fe30c60f68beecce202043462aa2b00417c1a6779016bfd9b553a12e2,e7442aeb1a990f0543b87ec44f1ac75ebe57ed61a8e2e10dcbdee7d859cfb5d6,evaluation/pdfs/xrp-basic.pdf,evaluation/raw/pdf/xrp-basic-report.json.gz
pdf,XRP,XRP,pro,200,fallback-xrp,XRP,1,5,422,0,premium_report_not_ready,,False,5095,,,,,,,,,0,0,0,0,0,0,0,0,,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,,evaluation/raw/pdf/xrp-pro-report.json.gz
