category,query,name,depth,status,latencyMs,error,responseBytes,requestedSurface,sourceMode,resolvedSymbol,resolvedName,assetClass,score,customerVerdict,analysisDataStatus,resultConfidence,dataQuality,resultSourceCount,resultLimitations,kernelSurface,kernelDepth,kernelStatus,kernelConfidence,kernelConfidenceCap,kernelSourceCount,kernelSourceFamilies,kernelEvidenceCount,kernelFindingsCount,kernelMissingCount,kernelNextActionsCount,aiMode,aiSurface,aiDepth,aiVerdict,aiConfidence,aiFindingsCount,aiMissingDataCount,customerNarrative,aiOutputHash,aiProviderError,aiDiagnosticSourceCount,aiSignalCount,publicSourceCount,publicProviderCount,publicFactsWithValue,publicMissingFacts,accessMode,paidRequired,qualityOutputStatus,qualityPaidVerified,releaseAllowed,rawPath
shield,ETH,Ethereum,advanced,422,4238,,101421,shield,crypto_market_integrity,ETH,ETH,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-eth-advanced.json.gz
shield,ETH,Ethereum,basic,200,4545,,128858,shield,crypto_market_integrity,ETH,ETH,crypto,,,,0,,0,,shield,,blocked,0,,0,,,,,,,,,review,0,0,6,,,,,,,,,,,,,,,evaluation/raw/vlm/shield-eth-basic.json.gz
shield,ETH,Ethereum,pro,422,8546,,101406,shield,crypto_market_integrity,ETH,ETH,crypto,,,,0,,0,,shield,,blocked,0,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,evaluation/raw/vlm/shield-eth-pro.json.gz
shield,LINK,Chainlink,advanced,422,4263,,102696,shield,crypto_market_integrity,LINK,LINK,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-link-advanced.json.gz
shield,LINK,Chainlink,basic,200,307,,129955,shield,crypto_market_integrity,LINK,LINK,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,9,4,rules,shield,basic,review,0,0,6,,8cddb7c9348d3d2915b8a58155da99311a1cf1a6e8c9e2d0b6d4e92fa8970627,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-link-basic.json.gz
shield,LINK,Chainlink,pro,422,8771,,102681,shield,crypto_market_integrity,LINK,LINK,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-link-pro.json.gz
shield,SOL,Solana,advanced,422,8735,,101421,shield,crypto_market_integrity,SOL,SOL,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-sol-advanced.json.gz
shield,SOL,Solana,basic,200,4749,,128873,shield,crypto_market_integrity,SOL,SOL,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,5,4,rules,shield,basic,review,0,0,6,,8247f2e160f01d458d72917821bcca16a2997710ab87c37780ff10000ebd4dbd,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-sol-basic.json.gz
shield,SOL,Solana,pro,422,4252,,101406,shield,crypto_market_integrity,SOL,SOL,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-sol-pro.json.gz
shield,UNI,Uniswap,advanced,422,4245,,102025,shield,crypto_market_integrity,UNI,UNI,crypto,,,,0,partial,0,1,shield,advanced,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-uni-advanced.json.gz
shield,UNI,Uniswap,basic,200,241,,129899,shield,crypto_market_integrity,UNI,UNI,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,9,4,rules,shield,basic,review,0,0,6,,dc0e4e42b7c435ac0b103fa8a13ab40f310d1c36fbe0fba0aca66501d45900c3,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-uni-basic.json.gz
shield,UNI,Uniswap,pro,422,8748,,102010,shield,crypto_market_integrity,UNI,UNI,crypto,,,,0,partial,0,1,shield,pro,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-uni-pro.json.gz
shield,XRP,XRP,advanced,422,4304,,101421,shield,crypto_market_integrity,XRP,XRP,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-xrp-advanced.json.gz
shield,XRP,XRP,basic,200,239,,128808,shield,crypto_market_integrity,XRP,XRP,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,5,4,rules,shield,basic,review,0,0,6,,4bc0c9f0cc83b30e9d0d7c0107fb5ba0012fdf1f34c38bea29d4fb2c860035ac,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-xrp-basic.json.gz
shield,XRP,XRP,pro,422,8750,,101406,shield,crypto_market_integrity,XRP,XRP,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-xrp-pro.json.gz
