BTC	Bitcoin	basic
BTC	Bitcoin	pro
BTC	Bitcoin	advanced
ETH	Ethereum	basic
ETH	Ethereum	pro
ETH	Ethereum	advanced
SOL	Solana	basic
SOL	Solana	pro
SOL	Solana	advanced
XRP	XRP	basic
XRP	XRP	pro
XRP	XRP	advanced
BNB	BNB	basic
BNB	BNB	pro
BNB	BNB	advanced
DOGE	Dogecoin	basic
DOGE	Dogecoin	pro
DOGE	Dogecoin	advanced
ADA	Cardano	basic
ADA	Cardano	pro
ADA	Cardano	advanced
AVAX	Avalanche	basic
AVAX	Avalanche	pro
AVAX	Avalanche	advanced
LINK	Chainlink	basic
LINK	Chainlink	pro
LINK	Chainlink	advanced
UNI	Uniswap	basic
UNI	Uniswap	pro
UNI	Uniswap	advanced
